150220140,I,1897,CHARYTANY,SZKŁO,225619,500012
153170080,IV,1955,CHARZYKOWY,JEZ. CHARZYKOWSKIE (BRDA),173030,534416
153220110,IV,1973,CHEŁCHY,JEGRZNIA,222804,535246
153180080,I,1810,CHEŁMNO,WISŁA,182454,532147
152150230,IV,1961,CHEŁST,MIAŁA,155657,524945
153179996,IV,2017,CHOCIŃSKI MŁYN,CHOCINA,172654,534953
151150180,II,1898,CHOJNÓW,SKORA,155644,511622
152230030,II,2005,CHRABOŁY,ORLANKA,231145,525144
152160040,III,2007,CHRZYPSKO WIELKIE,JEZ. CHRZYPSKIE (OSIECZNICA),161256,523725
150160030,II,1986,CHWALISZÓW,STRZEGOMKA,161359,505240
153170050,IV,1946,CIECHOLEWY,BRDA,172439,534852
154160130,III,1956,CIECHOLUB,STUDNICA,165408,540957
149180060,I,1895,CIESZYN,OLZA,183747,494445
149180070,I,1963,CIESZYN,MŁYNÓWKA,183753,494446
153160010,III,1975,CIESZYNO,JEZ. SIECINO (RAKOŃ),160219,533528
149190080,II,1900,CIĘCINA,SOŁA,190856,493729
149200330,II,1887,CIĘŻKOWICE,BIAŁA,205825,494732
152150130,II,1862,CIGACICE,ODRA,153627,520159
149220080,II,1958,CISNA,SOLINKA,222000,491247
154160080,IV,1984,CYBULINO,RADEW,163703,540224
151210070,IV,1973,CYGANÓWKA,WILGA,212701,515143
153220090,II,1956,CZACHY,WISSA,222646,532241
149190120,II,2005,CZANIEC-KOBIERNICE,SOŁA,191340,495054
153160040,II,1970,CZAPLINEK,JEZ. DRAWSKO (DRAWA),161334,533339
153220310,IV,2004,CZARNA WIEŚ,KANAŁ KUWASY,223822,534240
153180010,II,1946,CZARNA WODA,WDA,180534,535028
153160260,IV,1969,CZARNE,CZERNICA,165709,534142
152160070,II,1822,CZARNKÓW,NOTEĆ,163315,525430
152210100,II,1945,CZARNOWO,ORZ,213214,525300
149200230,II,1940,CZCHÓW,DUNAJEC,204055,494859
149190010,II,1956,CZECHOWICE-BESTWINA,BIAŁA,190149,495329
149180250,II,1895,CZECHOWICE-DZIEDZICE,IŁOWNICA,185911,495449
151210090,II,1945,CZEKARZEWICE,KAMIENNA,214053,510159
149190230,II,1995,CZERNICHÓW-PROM,WISŁA,193947,495853
154230030,IV,1946,CZERWONY FOLWARK,CZARNA HAŃCZA,230702,540411
153200140,IV,1957,DADAJ,JEZ. DADAJ (WADĄG),205315,535129
150200160,II,1957,DALESZYCE,CZARNA NIDA,204847,504803
154160150,I,2004,DARŁOWO,MORZE BAŁTYCKIE,162249,542621
152180150,II,1921,DĄBIE,NER,184926,520505
151190120,II,1929,DĄBROWA,CZARNA,195818,511850
151150140,II,1966,DĄBROWA BOLESŁAWIECKA,BÓBR,153414,511933
151180050,II,2005,DĘBE,SWĘDRNIA,181152,514729
151210120,II,1919,DĘBLIN,WISŁA,214935,513346
153220260,II,1946,DĘBOWO,BIEBRZA,225549,533635
153160220,III,1979,DŁUGIE,JEZ. DOŁGIE (DOŁGA),164758,534706
149200090,II,1971,DOBCZYCE,RABA,200510,495301
150200110,III,1955,DOBIESŁAWICE,NIDZICA,203535,501319
150170220,II,1898,DOBRA,BIAŁA,175349,502653
151150050,II,1936,DOBROSZÓW WIELKI,BÓBR,151522,514627
153210220,II,1938,DOBRYLAS,PISA,215153,531709
152140100,I,1900,DOLSK,MYŚLA,145035,524810
150170200,II,1958,DOMARADZ,BOGACICA,175152,505715
151230060,II,1897,DOROHUSK,BUG,234828,511106
152150240,II,1842,DRAWINY,DRAWA,155838,525308
153150100,IV,1941,DRAWNO,DRAWA,154549,531304
153150120,IV,1873,DRAWSKO POMORSKIE,DRAWA,154839,533137
153150170,III,2004,DREWNIANY MOST,PŁOCICZNA,155911,530533
149180080,II,2006,DROGOMYŚL,WISŁA,184458,495309
153150070,IV,1978,DROZDOWO,DĘBOSZNICA,153353,535957
151160050,II,1936,DUNINO,KACZAWA,160438,510925
149220150,I,1926,DWERNIK,SAN,223758,491307
149220040,II,1890,DYNÓW,SAN,221439,494803
151180130,II,1921,DZIAŁOSZYN,WARTA,185224,510636
153190100,IV,1959,DZIARNY,IŁAWKA,193653,533414
150160140,II,1896,DZIERŻONIÓW,PIŁAWA,163846,504333
153140070,I,1853,DZIWNÓW,CIEŚNINA DZIWNA,144353,540113
154150020,IV,1983,DŹWIRZYNO,JEZ. RESKO PRZYMORSKIE,152355,540904
154190060,II,1896,ELBLĄG,ELBLĄG,192316,541020
153180140,I,1948,ELGISZEWO,DRWĘCA,185541,530339
153220060,II,1971,EŁK,EŁK,222300,534954
153220050,II,1893,EŁK,JEZ. EŁCKIE (EŁK),222039,534913
153230010,II,1928,FASTY,SUPRAŚL,230136,531043
153180020,I,1873,FORDON,WISŁA,181012,530847
152220050,II,1916,FRANKOPOL,BUG,223339,522454
154170070,III,1946,GAŁĄŹNIA MAŁA,SŁUPIA,171807,541718
154170050,IV,1957,GARDNA WIELKA,JEZ. GARDNO (ŁUPAWA),170953,543821
154180140,I,1815,GDAŃSK-PORT PÓŁNOCNY,MORZE BAŁTYCKIE,184153,542359
154180190,II,1895,GDAŃSK-PRZEGALINA,WISŁA,185526,541831
154180160,I,1926,GDAŃSK-SOBIESZEWO,MARTWA WISŁA,184855,542047
154180200,II,1897,GDAŃSK-ŚWIBNO,WISŁA,185608,542011
154180210,II,1947,GDAŃSK-UJŚCIE WISŁY,WISŁA,185634,542110
154180220,II,1898,GDAŃSKA GŁOWA,WISŁA,185705,541601
154180120,I,1931,GDYNIA,MORZE BAŁTYCKIE,183319,543104
152180010,IV,1908,GĘBICE,MAŁA NOTEĆ,180201,523602
151190070,IV,1971,GIECZNO,MOSZCZENICA,192635,515949
154210090,II,1850,GIŻYCKO,PISA,214540,540208
150180220,II,1908,GLIWICE,KŁODNICA,184006,501753
150180180,II,2005,GLIWICE-ŁABĘDY,KŁODNICA,183655,502033
153210130,IV,1971,GŁODOWO,JEZ. ŚNIARDWY (PISA),213920,534334
151160060,I,1810,GŁOGÓW,ODRA,160333,514026
150210110,II,1991,GŁOWACZOWA,GRABINKA,211845,500259
150170070,I,1897,GŁUCHOŁAZY,BIAŁA GŁUCHOŁASKA,172248,501859
153150150,III,2004,GŁUSKO,KANAŁ GŁUCHY,155731,530315
152160150,IV,1955,GŁUSZYNA,KOPEL,165711,521901
150160290,II,2005,GNIECHOWICE,CZARNA WODA,164945,505915
149180240,II,1901,GOCZAŁKOWICE,WISŁA,185909,495554
149210120,II,1975,GODOWA,STOBNICA,214842,495055
153150090,III,1966,GOLA DOLNA,REGA,154350,534459
150190270,III,1954,GOLCZOWICE,BIAŁA PRZEMSZA,193609,502141
153140090,I,1872,GOLENIÓW,INA,144937,533347
154220110,II,2012,GOŁDAP 2,GOŁDAPA,221843,541846
149200190,II,1889,GOŁKOWICE,DUNAJEC,203413,493301
149180040,IV,1962,GOŁKOWICE,SZOTKÓWKA,182947,495533
154180060,II,1905,GORĘCZYNO,RADUNIA,180953,541549
149210020,IV,1957,GORLICE,SĘKÓWKA,211013,493917
